Michail BOTvinnik
Rick
A2 A3
E7 E5
G2 G3
D8 G5
B2 B4
D7 D6
F2 F4
G5 F4
B1 C3
F4 G3
H2 G3
D6 D5
E1 F2
C8 H3
G1 H3
F8 C5
F2 G2
D5 D4
A1 B1
D4 C3
G2 H2
C3 D2
G3 G4
D2 C1
P d C1
H2 G2
C1 D1
C2 C3
D1 E2
H3 F2
E2 F2
G2 H3
G8 F6
H1 H2
C5 B4
H2 G2
F2 F1
H3 H2
F6 G4
G2 G4
F1 B1
G4 G2
B4 C5
G2 G7
B1 G1
H2 H3
G1 G7
A3 A4
G7 H6
H3 G2
H6 H1
G2 G3
H8 G8
END
